SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
8000070;Arabis scabra;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Arabis;scabra;Heidelberg/Marcus Koch;278599-1;5374852;EUROPE;W. Europe to SW. Alps;perennial;temperate;H;NA;NA;NA;NA
8008999;Arabis blepharophylla;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Arabis;blepharophylla;Heidelberg/Marcus Koch;278047-1;5374908;NORTHERN AMERICA;California;perennial;temperate;H;ornamental;Coast rock cress;'Rijstebrei scheefkelk';NA
8009952;Pseudodraba hystrix;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Pseudodraba;hystrix;Heidelberg/Marcus Koch;77111176-1;8314831;ASIA-TEMPERATE;Afghanistan to W. Pakistan;subshrub;temperate;H;NA;NA;NA;Y
CRNC;Limnanthes douglasii;Limnanthaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ERR2789774;Ballantinia pumilio;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Ballantinia;pumilio;GAP phylogenomics;77142844-1;10748539;AUSTRALASIA;W. & WC. Victoria, C. & N. Tasmania;annual;subtropical;H;NA;NA;NA;Y
ERR4210213;Schimpera arabica;Brassicaceae;Brassicoideae;Brassicodae (II);Isatideae;Schimpera;arabica;GAP phylogenomics;288837-1;3050640;AFRICA;E. Medit. to W. & S. Iran and Arabian Pen.;annual;desert or dry shrubland;H;NA;NA;NA;Y
HYZL;Akania bidwillii;Akaniaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
MYZV;Tropaeolum peregrinum;Tropaeolaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_005410;Koeberlinia spinosa;Koeberliniaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_005411;Batis maritima;Bataceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_008053;Tiganophyton karense;Tiganophytaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_014331;Macrohasseltia macroterantha;Malvaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_019361;Cleome albescens;Cleomaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_019459;Vasconcellea quercifolia;Caricaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023477;Moringa oleifera;Moringaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023503;Salvadora persica;Salvadoraceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023511;Setchellanthus caeruleus;Setchellanthaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023513;Tovaria pendula;Tovariaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023515;Forchhammeria pallida;Resedaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PAFTOL_023519;Tersonia cyathiflora;Gyrostemonaceae;NA;NA;NA;NA;NA;Kew/PAFTOL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
S_670;Sandbergia whitedii;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Sandbergia;whitedii;Boechereae/Nik Hay;288826-1;3051208;NORTHERN AMERICA;S. British Columbia to N. Washington;perennial;temperate;H;NA;NA;NA;Y
S0055;Erysimum cheiranthoides;Brassicaceae;Brassicoideae;Camelinodae (I);Erysimeae;Erysimum;cheiranthoides;BrassiWood/Kasper Hendriks;307231-2;3048266;EUROPE;Europe to N. Japan;annual;temperate;H;NA;NA;Gewone steenraket;Y
S0156;Cithareloma lehmannii;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Cithareloma;lehmannii;BrassiWood/Kasper Hendriks;281291-1;3045618;ASIA-TEMPERATE;C. Asia to W. Pakistan;annual;temperate;H;NA;NA;NA;Y
S0196;Arcyosperma primulifolium;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Arcyosperma;primulifolium;BrassiWood/Kasper Hendriks;278733-1;3041063;ASIA-TROPICAL;N. Pakistan to Bhutan;perennial;subalpine or subarctic;H;NA;NA;NA;Y
S0268;Phoenicaulis cheiranthoides;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Phoenicaulis;cheiranthoides;BrassiWood/Kasper Hendriks;288099-1;3049300;NORTHERN AMERICA;W. U.S.A.;subshrub;temperate;H;NA;NA;NA;Y
S0275;Synthlipsis greggii;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Synthlipsis;greggii;BrassiWood/Kasper Hendriks;290269-1;5373318;NORTHERN AMERICA;Texas to NE. Mexico;annual, biennial or perennial;desert or dry shrubland;H;NA;NA;NA;Y
S0277;Aschersoniodoxa mandoniana;Brassicaceae;Brassicoideae;Heliophilodae (V);Eudemeae;Aschersoniodoxa;mandoniana;BrassiWood/Kasper Hendriks;21131-2;3040885;SOUTHERN AMERICA;Bolivia (La Paz);perennial or subshrub;montane tropical;H;NA;NA;NA;Y
S0278;Catenulina hedysaroides;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Catenulina;hedysaroides;BrassiWood/Kasper Hendriks;280838-1;3046619;ASIA-TEMPERATE;C. Asia;NA;temperate;H;NA;NA;NA;Y
S0279;Athysanus pusillus;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Athysanus;pusillus;BrassiWood/Kasper Hendriks;278766-1;5373588;NORTHERN AMERICA;W. Canada to Mexico (Baja California);annual;temperate;H;NA;common sandweed, sandweed;NA;Y
S0280;Glastaria glastifolia;Brassicaceae;Brassicoideae;Brassicodae (II);Isatideae;Glastaria;glastifolia;BrassiWood/Kasper Hendriks;284500-1;3044720;ASIA-TEMPERATE;E. Türkiye to N. Iraq and Jordan;annual;temperate;H;NA;NA;NA;Y
S0281;Aubrieta deltoidea;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Aubrieta;deltoidea;BrassiWood/Kasper Hendriks;1055027-2;3054117;EUROPE;Sicilia, C. Greece to W. Kriti and W. Türkiye;subshrub;temperate;H;ornamental;garden aubrieta, lilacbush;Aubrietia;Y
S0282;Anelsonia eurycarpa;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Anelsonia;eurycarpa;BrassiWood/Kasper Hendriks;13222-2;3048698;NORTHERN AMERICA;WC. U.S.A.;subshrub;subalpine or subarctic;H;NA;NA;NA;Y
S0283;Aphragmus obscurus;Brassicaceae;Brassicoideae;Brassicodae (II);Aphragmeae;Aphragmus;obscurus;BrassiWood/Kasper Hendriks;277922-1;5375162;ASIA-TROPICAL;NE. Pakistan to W. Himalaya;perennial;temperate;H;NA;NA;NA;NA
S0284;Ionopsidium acaule;Brassicaceae;Brassicoideae;Unplaced;Cochlearieae;Ionopsidium;acaule;BrassiWood/Kasper Hendriks;285701-1;3040944;EUROPE;W. & SW. Portugal, Morocco;annual;temperate;H;NA;false diamondflower;NA;Y
S0285;Carinavalva glauca;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Carinavalva;glauca;BrassiWood/Kasper Hendriks;280802-1;3047268;AUSTRALASIA;C. South of Australia;annual;desert or dry shrubland;H;NA;NA;NA;Y
S0286;Chlorocrambe hastata;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Chlorocrambe;hastata;BrassiWood/Kasper Hendriks;56940-2;3043203;NORTHERN AMERICA;Oregon to Utah;perennial;temperate;H;NA;NA;NA;Y
S0288;Clastopus vestitus;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Clastopus;vestitus;BrassiWood/Kasper Hendriks;281298-1;5375154;ASIA-TEMPERATE;Iran;subshrub;subalpine or subarctic;H;NA;NA;NA;Y
S0289;Rudolf-kamelinia korolkowii;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Rudolf-kamelinia;korolkowii;BrassiWood/Kasper Hendriks;77160338-1;10886361;ASIA-TEMPERATE;Afghanistan to Mongolia and China (Gansu);annual, biennial or perennial;temperate;H;NA;NA;NA;Y
S0292;Parlatoria cakiloidea;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Parlatoria;cakiloidea;BrassiWood/Kasper Hendriks;287934-1;5373231;ASIA-TEMPERATE;SE. Türkiye to W. Iran;annual;temperate;H;NA;NA;NA;Y
S0293;Cusickiella douglasii;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Cusickiella;douglasii;BrassiWood/Kasper Hendriks;275474-2;3042109;NORTHERN AMERICA;W. U.S.A.;perennial or subshrub;temperate;H;NA;NA;NA;Y
S0294;Dimorphocarpa wislizenii;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Dimorphocarpa;wislizenii;BrassiWood/Kasper Hendriks;1154622-2;3047653;NORTHERN AMERICA;WC. & SC. U.S.A. to N. Mexico;annual;subtropical;H;NA;NA;NA;Y
S0297;Horwoodia dicksoniae;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Horwoodia;dicksoniae;BrassiWood/Kasper Hendriks;285377-1;3050777;ASIA-TEMPERATE;Iraq to Arabian Pen.;annual;desert or dry shrubland;H;NA;NA;NA;Y
S0298;Iodanthus pinnatifidus;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Iodanthus;pinnatifidus;BrassiWood/Kasper Hendriks;285696-1;3053966;NORTHERN AMERICA;C. & E. U.S.A.;perennial;temperate;H;NA;NA;NA;Y
S0299;Leptaleum filifolium;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Leptaleum;filifolium;BrassiWood/Kasper Hendriks;286476-1;3041202;EUROPE;European Russia to Xinjiang and Pakistan, Arabian Pen.;annual;temperate;H;NA;NA;NA;Y
S0300;Lyrocarpa coulteri;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Lyrocarpa;coulteri;BrassiWood/Kasper Hendriks;286689-1;3040711;NORTHERN AMERICA;California to Arizona and NW. Mexico;subshrub;desert or dry shrubland;W;NA;NA;NA;Y
S0301;Polyctenium fremontii;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Polyctenium;fremontii;BrassiWood/Kasper Hendriks;205326-2;3047184;NORTHERN AMERICA;W. U.S.A.;subshrub;temperate;H;NA;NA;NA;Y
S0303;Alyssoides utriculata;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Alyssoides;utriculata;BrassiWood/Kasper Hendriks;1057074-2;3050529;EUROPE;WC. & SW. Alps, Appennini, Balkan Pen. to N. Türkiye and W. Caucasus;subshrub;temperate;H;NA;NA;NA;Y
S0305;Ammosperma cinereum;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Ammosperma;cinereum;BrassiWood/Kasper Hendriks;277874-1;7501345;AFRICA;N. Africa;NA;subtropical;H;NA;NA;NA;Y
S0306;Blennodia canescens;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Blennodia;canescens;BrassiWood/Kasper Hendriks;279150-1;3051343;AUSTRALASIA;C. & E. Australia;annual;desert or dry shrubland;H;NA;NA;NA;Y
S0308;Bornmuellera tymphaea;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Bornmuellera;tymphaea;BrassiWood/Kasper Hendriks;279180-1;3047125;EUROPE;NC. Greece;subshrub;temperate;W;NA;NA;NA;Y
S0312;Calepina irregularis;Brassicaceae;Brassicoideae;Brassicodae (II);Calepineae;Calepina;irregularis;BrassiWood/Kasper Hendriks;279822-1;3048782;EUROPE;Europe, Medit to Iran;annual or biennial;temperate;H;NA;NA;Kalkraket;Y
S0315;Didesmus aegyptius;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Didesmus;aegyptius;BrassiWood/Kasper Hendriks;282112-1;5375148;EUROPE;E. Medit.;annual;subtropical;H;NA;NA;NA;Y
S0316;Dielsiocharis kotschyi;Brassicaceae;Brassicoideae;Camelinodae (I);Alyssopsideae;Dielsiocharis;kotschyi;BrassiWood/Kasper Hendriks;282123-1;3047275;ASIA-TEMPERATE;S. Turkmenistan to Iran;subshrub;temperate;H;NA;NA;NA;Y
S0317;Erucastrum gallicum;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Erucastrum;gallicum;BrassiWood/Kasper Hendriks;283486-1;5375547;EUROPE;W. & C. Europe;annual or perennial;temperate;H;NA;bracted rocket, common dog mustard, dog mustard, French rocket;Schijnraket;NA
S0320;Euclidium syriacum;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Euclidium;syriacum;BrassiWood/Kasper Hendriks;284272-1;3049314;EUROPE;SE. Europe to India;annual;subtropical;H;NA;Syrian mustard;NA;Y
S0322;Fibigia clypeata;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Fibigia;clypeata;BrassiWood/Kasper Hendriks;284456-1;3051652;EUROPE;E. Medit. to W. Asia;perennial;subtropical;H;NA;NA;NA;Y
S0323;Guiraoa arvensis;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Guiraoa;arvensis;BrassiWood/Kasper Hendriks;284545-1;3044695;EUROPE;E. & SE. Spain;annual;subtropical;H;NA;NA;Herik;Y
S0326;Kremeriella cordylocarpus;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Kremeriella;cordylocarpus;BrassiWood/Kasper Hendriks;285966-1;3047141;AFRICA;NW. Africa;NA;subtropical;H;NA;NA;NA;Y
S0327;Lachnoloma lehmannii;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Lachnoloma;lehmannii;BrassiWood/Kasper Hendriks;285968-1;3047248;ASIA-TEMPERATE;NE. Iran to Xinjiang;annual;temperate;H;NA;NA;NA;Y
S0329;Megadenia pygmaea;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Megadenia;pygmaea;BrassiWood/Kasper Hendriks;287012-1;3051311;ASIA-TEMPERATE;S. Siberia to W. & C. China, S. Russian Far East;annual;subalpine or subarctic;H;NA;NA;NA;Y
S0331;Morisia monanthos;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Morisia;monanthos;BrassiWood/Kasper Hendriks;287179-1;5375716;EUROPE;Corse, Sardegna;perennial;temperate;H;NA;NA;NA;Y
S0335;Myagrum perfoliatum;Brassicaceae;Brassicoideae;Brassicodae (II);Isatideae;Myagrum;perfoliatum;BrassiWood/Kasper Hendriks;287244-1;3047811;EUROPE;Europe to Iran;annual;temperate;H;NA;mitrecress;Myagrum;Y
S0345;Sisymbrium burchellii;Brassicaceae;Brassicoideae;Brassicodae (II);Sisymbrieae;Sisymbrium;burchellii;BrassiWood/Kasper Hendriks;289226-1;3046869;AFRICA;S. Africa;perennial;desert or dry shrubland;H;NA;NA;NA;NA
S0346;Romanschulzia arabiformis;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Romanschulzia;arabiformis;BrassiWood/Kasper Hendriks;221817-2;3053669;NORTHERN AMERICA;Mexico;annual or perennial;temperate;H;NA;NA;NA;Y
S0355;Lutzia cretica;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Lutzia;cretica;BrassiWood/Kasper Hendriks;912766-1;5376052;EUROPE;Greece (Astypalia), Kriti (incl. K√°rpathos), E. Aegean Is. (Rodos);subshrub;subtropical;W;NA;NA;NA;Y
S0371;Vella pseudocytisus;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Vella;pseudocytisus;BrassiWood/Kasper Hendriks;290995-1;5375673;EUROPE;C. Spain;subshrub or shrub;temperate;W;NA;NA;NA;Y
S0373;Succowia balearica;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Succowia;balearica;BrassiWood/Kasper Hendriks;1104224-2;3040899;EUROPE;Canary Is., W. & C. Medit.;annual;subtropical;H;NA;NA;NA;Y
S0376;Sisymbrella aspera;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Sisymbrella;aspera;BrassiWood/Kasper Hendriks;1028647-2;3047402;EUROPE;France to Iberian Pen., Morocco;annual;temperate;H;NA;NA;NA;Y
S0377;Sinapidendron frutescens;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Sinapidendron;frutescens;BrassiWood/Kasper Hendriks;288941-1;3047763;AFRICA;Madeira;subshrub;subtropical;W;NA;NA;NA;Y
S0380;Psychine stylosa;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Psychine;stylosa;BrassiWood/Kasper Hendriks;288248-1;3042183;AFRICA;NW. Africa;NA;subtropical;H;NA;NA;NA;Y
S0381;Pseudovesicaria digitata;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Pseudovesicaria;digitata;BrassiWood/Kasper Hendriks;288235-1;3042391;EUROPE;NW. Balkan Pen., Caucasus;NA;subalpine or subarctic;H;NA;NA;NA;Y
S0383;Physaria didymocarpa;Brassicaceae;Brassicoideae;Camelinodae (I);Physarieae;Physaria;didymocarpa;BrassiWood/Kasper Hendriks;30186061-2;3049104;NORTHERN AMERICA;W. Canada to NW. U.S.A.;perennial;temperate;H;NA;common twinpod, double twinpod;NA;Y
S0384;Peltariopsis planisiliqua;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Peltariopsis;planisiliqua;BrassiWood/Kasper Hendriks;288057-1;3051703;ASIA-TEMPERATE;SE. Türkiye to NW. Iran;annual or perennial;temperate;H;NA;NA;NA;Y
S0385;Nasturtiopsis coronopifolia;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Nasturtiopsis;coronopifolia;BrassiWood/Kasper Hendriks;287291-1;3047752;AFRICA;N. Africa to Israel;NA;subtropical;H;NA;NA;NA;Y
S0400;Nevada holmgrenii;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Nevada;holmgrenii;BrassiWood/Kasper Hendriks;60434934-2;3042124;NORTHERN AMERICA;C. Nevada;subshrub;subalpine or subarctic;H;NA;NA;NA;Y
S0403;Maresia nana;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Maresia;nana;BrassiWood/Kasper Hendriks;286825-1;5377766;EUROPE;Medit. to Afghanistan;annual;subtropical;H;NA;NA;NA;Y
S0405;Mancoa hispida;Brassicaceae;Brassicoideae;Camelinodae (I);Halimolobeae;Mancoa;hispida;BrassiWood/Kasper Hendriks;286806-1;5377828;SOUTHERN AMERICA;Peru to NW. Argentina;perennial;montane tropical;H;NA;NA;NA;Y
S0407;Lepidostemon pedunculosus;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Lepidostemon;pedunculosus;BrassiWood/Kasper Hendriks;286474-1;5373561;ASIA-TEMPERATE;Sikkim to Tibet;annual;subalpine or subarctic;H;NA;NA;NA;Y
S0412;Ianhedgea minutiflora;Brassicaceae;Brassicoideae;Camelinodae (I);Descurainieae;Ianhedgea;minutiflora;BrassiWood/Kasper Hendriks;1010323-1;3051301;ASIA-TEMPERATE;Iran to C. Asia to Tibet;annual;subalpine or subarctic;H;NA;NA;NA;Y
S0416;Eutrema edwardsii;Brassicaceae;Brassicoideae;Brassicodae (II);Eutremeae;Eutrema;edwardsii;BrassiWood/Kasper Hendriks;302138-2;5375237;EUROPE;Subarctic to Tibet;perennial or rhizomatous geophyte;temperate;H;NA;Edwards' eutrema, Edwards' mock wallflower;NA;Y
S0417;Christolea crassifolia;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Christolea;crassifolia;BrassiWood/Kasper Hendriks;281258-1;3044549;ASIA-TEMPERATE;Afghanistan to W. China and C. Nepal;perennial;temperate;H;NA;NA;NA;Y
S0419;Acirostrum alaschanicum;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Acirostrum;alaschanicum;BrassiWood/Kasper Hendriks;77122986-1;12306902;ASIA-TEMPERATE;N. & C. China;perennial;temperate;H;NA;NA;NA;Y
S0420;Teesdalia nudicaulis;Brassicaceae;Brassicoideae;Heliophilodae (V);Iberideae;Teesdalia;nudicaulis;BrassiWood/Kasper Hendriks;290314-1;3054168;EUROPE;Madeira, Europe, Morocco;annual;temperate;H;NA;bare-stemmed teesdalia, Bare-Stemmed Teesdalia, Barestem Teesdalia, common shepherd's-cress, Common Shepherd'S-Cress, Shepherd'S Cress, shepherd's-cress, Shepherd'S-Cress;Klein tasjeskruid;Y
S0421;Streptoloma desertorum;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Streptoloma;desertorum;BrassiWood/Kasper Hendriks;290198-1;3041458;ASIA-TEMPERATE;NE. Iran to C. Asia and W. Afghanistan;annual;temperate;H;NA;NA;NA;Y
S0424;Spryginia winkleri;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Spryginia;winkleri;BrassiWood/Kasper Hendriks;289990-1;3043037;ASIA-TEMPERATE;NE. Iran to C. Asia and Afghanistan;annual;temperate;H;NA;NA;NA;Y
S0427;Planodes virginicum;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Planodes;virginicum;BrassiWood/Kasper Hendriks;1182133-2;5375347;NORTHERN AMERICA;C., E. & S. U.S.A. to Mexico (Baja California Norte);annual;temperate;H;NA;NA;NA;Y
