SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
S0428;Pycnoplinthus uniflora;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Pycnoplinthus;uniflora;BrassiWood/Kasper Hendriks;288324-1;3041492;ASIA-TROPICAL;W. Himalaya;perennial;subalpine or subarctic;H;NA;NA;NA;Y
S0430;Physoptychis caspica;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Physoptychis;caspica;BrassiWood/Kasper Hendriks;288145-1;3047671;ASIA-TEMPERATE;SE. Türkiye to Iran;perennial or subshrub;temperate;H;NA;NA;NA;Y
S0435;Pachycladon novae-zelandiae;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Pachycladon;novae-zelandiae;BrassiWood/Kasper Hendriks;287899-1;5373410;AUSTRALASIA;New Zealand;NA;NA;H;NA;NA;NA;Y
S0436;Parolinia ornata;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Parolinia;ornata;BrassiWood/Kasper Hendriks;287941-1;5377800;AFRICA;Canary Is. (Gran Canaria);shrub;subtropical;W;NA;NA;NA;Y
S0450;Anastatica hierochuntica;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Anastatica;hierochuntica;BrassiWood/Kasper Hendriks;277878-1;3041976;AFRICA;Canary Is. (Fuertaventura), Sahara to Iraq and Arabian Pen., S. Iran to SW. Pakistan;annual;desert or dry shrubland;H;NA;NA;NA;Y
S0464;Fortuynia garcinii;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Fortuynia;garcinii;BrassiWood/Kasper Hendriks;284477-1;5376240;ASIA-TEMPERATE;Iran to Pakistan;subshrub;desert or dry shrubland;W;NA;NA;NA;Y
S0478;Leiospora exscapa;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Leiospora;exscapa;BrassiWood/Kasper Hendriks;20001828-1;3042136;ASIA-TEMPERATE;S. Siberia to Mongolia and W. Himalaya;perennial;subalpine or subarctic;H;NA;NA;NA;Y
S0509;Arabidella trisecta;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Arabidella;trisecta;BrassiWood/Kasper Hendriks;277935-1;3040450;AUSTRALASIA;C. & S. Australia;subshrub or shrub;desert or dry shrubland;W;NA;NA;NA;Y
S0512;Chaunanthus mexicanus;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Chaunanthus;mexicanus;BrassiWood/Kasper Hendriks;1153256-2;3042388;NORTHERN AMERICA;Mexico (Puebla);subshrub;seasonally dry tropical;W;NA;NA;NA;NA
S0521;Stanleya pinnata;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Stanleya;pinnata;BrassiWood/Kasper Hendriks;298794-2;5373733;NORTHERN AMERICA;W. & C. U.S.A. to N. Mexico;perennial, subshrub or shrub;temperate;W;NA;NA;NA;Y
S0547;Lepidium virginicum;Brassicaceae;Brassicoideae;Camelinodae (I);Lepidieae;Lepidium;virginicum;BrassiWood/Kasper Hendriks;138164-2;5376648;EUROPE;Canada to C. America, Caribbean;annual or biennial;temperate;H;NA;Least Pepperwort, Peppergrass, poor-man's pepper, Poor-Man'S Pepper, poor-man's peppergrass, Poor-Man'S Peppergrass, Poor-Man'S-Pepper, Poorman Pepperweed, Poorman'S Pepper, Poorman'S Pepperwort, Virginia Cress, Virginia Pepper Cress, Virginia peppergrass, Virginia Peppergrass, Virginia pepperweed, Virginia Pepperweed, Virginian Peppercress;Amerikaanse kruidkers;NA
S0552;Noccaea rotundifolia;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Noccaea;rotundifolia;BrassiWood/Kasper Hendriks;287784-1;3045243;EUROPE;E. France to Slovenia;subshrub;temperate;H;NA;NA;NA;Y
S0555;Lobularia maritima;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Lobularia;maritima;BrassiWood/Kasper Hendriks;1085072-2;5373358;EUROPE;W. & C. Medit. to Sinai;annual or subshrub;temperate;H;ornamental;Sweet Alison;Zilverschildzaad;Y
S0558;Hornungia petraea;Brassicaceae;Brassicoideae;Camelinodae (I);Descurainieae;Hornungia;petraea;BrassiWood/Kasper Hendriks;285375-1;5376179;EUROPE;Europe to NW. Iraq, NW. Africa;annual;temperate;H;NA;NA;NA;Y
S0560;Biscutella didyma;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Biscutella;didyma;BrassiWood/Kasper Hendriks;279004-1;3041843;EUROPE;C. & E. Medit.;annual;subtropical;H;NA;NA;NA;Y
S0562;Microthlaspi perfoliatum;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Microthlaspi;perfoliatum;BrassiWood/Kasper Hendriks;77148288-1;3050631;EUROPE;Europe to Xinjiang, N. Africa to N. Pakistan;annual;temperate;H;NA;clasping-leaved pennycress, perfoliate pennycress, thoroughwort pennycress;Doorgroeide boerenkers;Y
S0564;Pentadiplandra brazzeana;Pentadiplandraceae;NA;NA;NA;NA;NA;BrassiWood/Kasper Hendriks;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
S0577;Heliophila elongata;Brassicaceae;Brassicoideae;Heliophilodae (V);Heliophileae;Heliophila;elongata;BrassiWood/Kasper Hendriks;284648-1;5374440;AFRICA;Cape Prov. to KwaZulu-Natal;subshrub;subtropical;W;NA;NA;NA;NA
S0583;Raphanus sativus;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Raphanus;sativus;BrassiWood/Kasper Hendriks;77159305-1;7678610;EUROPE;a cultigen from Medit.;annual or biennial;temperate;H;crop;cultivated radish, garden radish;Tuinradijs;Y
S0590;Hirschfeldia incana;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Hirschfeldia;incana;BrassiWood/Kasper Hendriks;285350-1;3050595;EUROPE;Medit. to Iran and Arabian Pen.;annual or biennial;temperate;H;NA;NA;Grijze mosterd;Y
S0591;Lepidium latifolium;Brassicaceae;Brassicoideae;Camelinodae (I);Lepidieae;Lepidium;latifolium;BrassiWood/Kasper Hendriks;286262-1;5376692;EUROPE;Temp. Eurasia, N. Africa to Arabian Pen.;perennial;temperate;H;NA;broad-leaved peppergrass, perennial peppergrass;Peperkers;Y
S0593;Nasturtium officinale;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Nasturtium;officinale;BrassiWood/Kasper Hendriks;287534-1;7701037;EUROPE;Europe to C. Asia and Arabian Pen., Macaronesia, N. & NE. Trop. Africa;perennial or helophyte;temperate;H;crop;Watercress;Witte waterkers;Y
S0612;Oreophyton falcatum;Brassicaceae;Brassicoideae;Camelinodae (I);Oreophytoneae;Oreophyton;falcatum;BrassiWood/Kasper Hendriks;287876-1;3041509;AFRICA;Ethiopia to EC. & E. Trop. African Mts.;perennial;montane tropical;H;NA;NA;NA;Y
S0613;Noccidium hastulatum;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Noccidium;hastulatum;BrassiWood/Kasper Hendriks;287803-1;8620523;ASIA-TEMPERATE;SE. Transcaucasus to N. & C. Iran;annual;temperate;H;NA;NA;NA;Y
S0616;Meniocus linifolius;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Meniocus;linifolius;BrassiWood/Kasper Hendriks;287025-1;3045206;EUROPE;Medit. to SW. Siberia and Xinjiang;annual;temperate;H;NA;NA;NA;Y
S0617;Hemicrambe fruticulosa;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Hemicrambe;fruticulosa;BrassiWood/Kasper Hendriks;284815-1;3048696;AFRICA;N. Morocco;NA;subtropical;W;NA;NA;NA;Y
S0620;Resetnikia triquetra;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Resetnikia;triquetra;BrassiWood/Kasper Hendriks;77152088-1;10753278;EUROPE;NW. Balkan Pen.;perennial or subshrub;temperate;H;NA;NA;NA;Y
S0624;Cymatocarpus pilosissimus;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Cymatocarpus;pilosissimus;BrassiWood/Kasper Hendriks;281907-1;5373632;ASIA-TEMPERATE;N. Iran to Turkmenistan and NW. Afghanistan;annual;temperate;H;NA;NA;NA;Y
S0629;Chartoloma platycarpum;Brassicaceae;Brassicoideae;Brassicodae (II);Isatideae;Chartoloma;platycarpum;BrassiWood/Kasper Hendriks;280881-1;3042488;ASIA-TEMPERATE;C. Asia;annual;temperate;H;NA;NA;NA;Y
S0641;Neslia paniculata;Brassicaceae;Brassicoideae;Camelinodae (I);Camelineae;Neslia;paniculata;BrassiWood/Kasper Hendriks;287664-1;9040863;EUROPE;Europe to Russian Far East and N. China;annual;temperate;H;NA;Ball Mustard, ball-mustard, common ball-mustard, paniculate ball-mustard, yellow ball-mustard;Vinkenzaad;Y
S0642;Notoceras bicorne;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Notoceras;bicorne;BrassiWood/Kasper Hendriks;287811-1;5374288;EUROPE;Canary Is., Mauritania, SE. Spain, N. Africa to W. Himalaya and Arabian Pen.;annual;desert or dry shrubland;H;NA;NA;NA;Y
S0643;Pennellia longifolia;Brassicaceae;Brassicoideae;Camelinodae (I);Halimolobeae;Pennellia;longifolia;BrassiWood/Kasper Hendriks;187066-2;3051382;NORTHERN AMERICA;Colorado to C. America;perennial;temperate;H;NA;NA;NA;Y
S0645;Tetracme quadricornis;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Tetracme;quadricornis;BrassiWood/Kasper Hendriks;290334-1;5377813;ASIA-TEMPERATE;N. Iran to Mongolia;annual;temperate;H;NA;NA;NA;Y
S0647;Thysanocarpus curvipes;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Thysanocarpus;curvipes;BrassiWood/Kasper Hendriks;290797-1;3051417;NORTHERN AMERICA;W. Canada to Mexico (Baja California Norte, Sonora);annual;desert or dry shrubland;H;NA;lacepod mustard, sand fringepod, sand lacepod;NA;Y
S0654;Eremobium aegyptiacum;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Eremobium;aegyptiacum;BrassiWood/Kasper Hendriks;20009473-1;3051168;AFRICA;E. Medit. to Arabian Pen., S. Iran to SW. Pakistan;annual or subshrub;desert or dry shrubland;H;NA;NA;NA;Y
S0655;Lachnocapsa spathulata;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Lachnocapsa;spathulata;BrassiWood/Kasper Hendriks;285967-1;3046689;AFRICA;Socotra;subshrub;desert or dry shrubland;W;NA;NA;NA;Y
S0656;Micrantha multicaulis;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Micrantha;multicaulis;BrassiWood/Kasper Hendriks;285102-1;5373619;ASIA-TEMPERATE;W. & S. Iran;perennial;temperate;H;NA;NA;NA;Y
S0657;Sterigmostemum incanum;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Sterigmostemum;incanum;BrassiWood/Kasper Hendriks;290089-1;3042156;ASIA-TEMPERATE;C. & E. Türkiye to Iran and S. Turkmenistan;biennial;temperate;H;NA;NA;NA;Y
S0660;Ceratocnemum rapistroides;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Ceratocnemum;rapistroides;BrassiWood/Kasper Hendriks;280868-1;3041950;AFRICA;Morocco;NA;subtropical;H;NA;NA;NA;Y
S0662;Enarthrocarpus arcuatus;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Enarthrocarpus;arcuatus;BrassiWood/Kasper Hendriks;283231-1;3053949;EUROPE;W. Greece to E. Medit.;annual;subtropical;H;NA;NA;NA;Y
S0664;Erucaria hispanica;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Erucaria;hispanica;BrassiWood/Kasper Hendriks;283447-1;5377678;EUROPE;E. Medit. to Iran and Arabian Pen.;annual or biennial;subtropical;H;NA;NA;NA;Y
S0667;Raffenaldia primuloides;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Raffenaldia;primuloides;BrassiWood/Kasper Hendriks;288384-1;3041117;AFRICA;Morocco to W. Algeria;perennial;temperate;H;NA;NA;NA;Y
S0669;Schouwia purpurea;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Schouwia;purpurea;BrassiWood/Kasper Hendriks;288873-1;5375907;AFRICA;Sahara to Jordan and Arabian Pen.;annual;desert or dry shrubland;H;NA;NA;NA;Y
S0670;Capsella bursa-pastoris;Brassicaceae;Brassicoideae;Camelinodae (I);Camelineae;Capsella;bursa-pastoris;BrassiWood/Kasper Hendriks;30092589-2;5375388;EUROPE;Temp. Eurasia, N. Africa;annual or biennial;temperate;H;scientific;common shepherd's purse, pickpocket, shepherd's purse;Herderstasje;Y
S0671;Armoracia rusticana;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Armoracia;rusticana;BrassiWood/Kasper Hendriks;278747-1;3041022;EUROPE;S. Ukraine to S. European Russia;perennial;temperate;H;crop;common horseradish, horseradish;Mierik, Mierikswortel;Y
S0672;Rorippa sylvestris;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Rorippa;sylvestris;BrassiWood/Kasper Hendriks;288692-1;3053376;EUROPE;Europe to Siberia and W. Himalaya;perennial or helophyte;temperate;H;NA;creeping yellowcress;Akkerkers;Y
S0673;Diptychocarpus strictus;Brassicaceae;Brassicoideae;Hesperodae (III);Chorisporeae;Diptychocarpus;strictus;BrassiWood/Kasper Hendriks;282259-1;3052559;EUROPE;S. European Russia to W. Himalaya and N. China;annual;temperate;H;NA;NA;NA;Y
S0677;Kotschyella stenocarpa;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Kotschyella;stenocarpa;BrassiWood/Kasper Hendriks;77148297-1;3052736;ASIA-TEMPERATE;Turkmenistan to Iran;perennial;temperate;H;NA;NA;NA;Y
S0688;Megacarpaea megalocarpa;Brassicaceae;Brassicoideae;Heliophilodae (V);Megacarpaeeae;Megacarpaea;megalocarpa;BrassiWood/Kasper Hendriks;287006-1;3051440;EUROPE;European Russia to Qinghai;perennial;temperate;H;NA;NA;NA;Y
S0689;Smelowskia alba;Brassicaceae;Brassicoideae;Camelinodae (I);Smelowskieae;Smelowskia;alba;BrassiWood/Kasper Hendriks;289869-1;3045563;ASIA-TEMPERATE;Siberia to Russian Far East and NE. China;perennial;temperate;H;NA;NA;NA;Y
S0690;Borodinia macrophylla;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Borodinia;macrophylla;BrassiWood/Kasper Hendriks;279182-1;5376188;ASIA-TEMPERATE;S. Siberia to C. Russian Far East;perennial;temperate;H;NA;NA;NA;Y
S0691;Farsetia aegyptia;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Farsetia;aegyptia;BrassiWood/Kasper Hendriks;284373-1;3047968;AFRICA;Mauritania to Iraq and Arabian Pen.;subshrub or shrub;desert or dry shrubland;W;NA;NA;NA;Y
S0717;Stevenia alyssoides;Brassicaceae;Brassicoideae;Arabodae (IV);Stevenieae;Stevenia;alyssoides;BrassiWood/Kasper Hendriks;290095-1;5373607;ASIA-TEMPERATE;S. & E. Siberia to Mongolia;annual or biennial;subalpine or subarctic;H;NA;NA;NA;Y
S0718;Catolobus pendulus;Brassicaceae;Brassicoideae;Camelinodae (I);Camelineae;Catolobus;pendulus;BrassiWood/Kasper Hendriks;77069420-1;3688630;EUROPE;E. Europe to Japan;biennial;temperate;H;NA;NA;NA;Y
S0720;Pachyneurum grandiflorum;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Pachyneurum;grandiflorum;BrassiWood/Kasper Hendriks;287902-1;5373338;ASIA-TEMPERATE;S. Siberia to Mongolia and Xinjiang;perennial;subalpine or subarctic;H;NA;NA;NA;Y
S0721;Pseudoarabidopsis toxophylla;Brassicaceae;Brassicoideae;Unplaced;Unplaced;Pseudoarabidopsis;toxophylla;BrassiWood/Kasper Hendriks;1009844-1;3044557;EUROPE;Krym to SW. Siberia;biennial or perennial;temperate;H;NA;NA;NA;Y
S0722;Macropodium nivale;Brassicaceae;Brassicoideae;Arabodae (IV);Stevenieae;Macropodium;nivale;BrassiWood/Kasper Hendriks;286697-1;8213172;ASIA-TEMPERATE;S. Siberia to Mongolia;rhizomatous geophyte;temperate;H;NA;NA;NA;Y
S0724;Acuston lunarioides;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Acuston;lunarioides;BrassiWood/Kasper Hendriks;77175696-1;10902918;EUROPE;Aegean Is.;subshrub;subtropical;H;NA;NA;NA;Y
S0726;Eremophyton chevallieri;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Eremophyton;chevallieri;BrassiWood/Kasper Hendriks;283257-1;3041452;AFRICA;N. Sahara;annual;desert or dry shrubland;H;NA;NA;NA;Y
S0727;Dryopetalon runcinatum;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Dryopetalon;runcinatum;BrassiWood/Kasper Hendriks;30220416-2;3049367;NORTHERN AMERICA;Arizona to Texas and N. Mexico;annual or biennial;desert or dry shrubland;H;NA;NA;NA;Y
S0728;Drabastrum alpestre;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Drabastrum;alpestre;BrassiWood/Kasper Hendriks;76855-3;3042143;AUSTRALASIA;SE. Australia (S. Dividing Range);subshrub or perennial;subalpine or subarctic;H;NA;NA;NA;Y
S0731;Crambe maritima;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Crambe;maritima;BrassiWood/Kasper Hendriks;281657-1;5373533;EUROPE;Europe to Caucasus;perennial;temperate;H;NA;NA;Zeekool;Y
S0732;Clypeola jonthlaspi;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Clypeola;jonthlaspi;BrassiWood/Kasper Hendriks;281341-1;5375313;EUROPE;SC. Europe, Medit. to W. Pakistan and Arabian Pen.;annual;subtropical;H;NA;NA;NA;Y
S0733;Cardamine pratensis;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Cardamine;pratensis;BrassiWood/Kasper Hendriks;45334-2;7972010;EUROPE;Greenland to NC. & NE. U.S.A., Azores, Temp. Eurasia, Ethiopia;perennial;temperate;H;NA;cuckoo flower, European field bittercress, lady's smock, meadow bittercress;Pinksterbloem;Y
S0734;Barbarea vulgaris;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Barbarea;vulgaris;BrassiWood/Kasper Hendriks;29455-2;5708780;EUROPE;Europe, Medit. to Japan;biennial or perennial;temperate;H;NA;bitter wintercress, Bitter Wintercress, Bittercress, Common Winter-Cress, common wintercress, Common Wintercress, cress, Cress, cressy-greens, Cressy-Greens, garden yellow rocket, Garden Yellow Rocket, Garden Yellowrocket, Herb-Barbaras, Rocket Cress, Upland Cress, Winter Cress, Winter-Cress, Wintercress, yellow rocket, Yellow Rocket;Gewoon barbarakruid;Y
S0735;Aethionema saxatile;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;saxatile;BrassiWood/Kasper Hendriks;277234-1;7870683;EUROPE;EC. & S. Europe, E. Algeria;annual or subshrub;temperate;W;ornamental;Burnt candytuft;Steenkers;Y
S0738;Didymophysa fenestrata;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Didymophysa;fenestrata;BrassiWood/Kasper Hendriks;77186111-1;10817496;ASIA-TEMPERATE;C. Iran;subshrub;temperate;W;NA;NA;NA;Y
S0739;Odontarrhena obovata;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Odontarrhena;obovata;BrassiWood/Kasper Hendriks;287846-1;3044773;EUROPE;E. Europe to N. China;subshrub;temperate;H;NA;American alyssum, American madwort;NA;Y
S0740;Alyssum montanum;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Alyssum;montanum;BrassiWood/Kasper Hendriks;277653-1;3044912;EUROPE;France to SW. Germany;subshrub;temperate;W;NA;NA;Bergschildzaad;Y
S0741;Microlepidium pilosulum;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Microlepidium;pilosulum;BrassiWood/Kasper Hendriks;287088-1;5376113;AUSTRALASIA;Southern Australia;annual;NA;H;NA;NA;NA;Y
S0742;Robeschia schimperi;Brassicaceae;Brassicoideae;Camelinodae (I);Descurainieae;Robeschia;schimperi;BrassiWood/Kasper Hendriks;288602-1;3054105;ASIA-TEMPERATE;E. Medit. to W. Pakistan;annual;desert or dry shrubland;H;NA;NA;NA;Y
S0743;Cakile maritima;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Cakile;maritima;BrassiWood/Kasper Hendriks;30179231-2;3048831;EUROPE;Macaronesia, European and Medit. coasts;perennial or subshrub;temperate;H;NA;European sea rocket;Zeeraket;Y
S0744;Graellsia saxifragifolia;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Graellsia;saxifragifolia;BrassiWood/Kasper Hendriks;284524-1;5376207;ASIA-TEMPERATE;Iran to Turkmenistan and Afghanistan;perennial or subshrub;temperate;H;NA;NA;NA;Y
