SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
S1106;Phlebolobium maclovianum;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Phlebolobium;maclovianum;BrassiWood/Kasper Hendriks;193311-2;3050493;ANTARCTICA;Falkland Is.;subshrub;temperate;H;NA;NA;NA;Y
S1107;Heliophila brachycarpa;Brassicaceae;Brassicoideae;Heliophilodae (V);Heliophileae;Heliophila;brachycarpa;BrassiWood/Kasper Hendriks;284600-1;5374493;AFRICA;Cape Prov.;scrambling shrub or tree;subtropical;W;NA;NA;NA;NA
S1110;Aurinia gionae;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Aurinia;gionae;BrassiWood/Kasper Hendriks;912137-1;5377777;EUROPE;NW. & C. Greece;subshrub;temperate;H;NA;NA;NA;NA
S1111;Cuprella homalocarpa;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Cuprella;homalocarpa;BrassiWood/Kasper Hendriks;77151974-1;10953266;AFRICA;Egypt to SW. Pakistan;annual;subtropical;H;NA;NA;NA;NA
S1113;Draba funckii;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Draba;funckii;BrassiWood/Kasper Hendriks;276050-2;3049433;SOUTHERN AMERICA;NW. Venezuela;subshrub;montane tropical;W;NA;NA;NA;NA
S1114;Diceratella floccosa;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Diceratella;floccosa;BrassiWood/Kasper Hendriks;282093-1;5374697;ASIA-TEMPERATE;S. Iran to SW. Pakistan;subshrub;subtropical;W;NA;NA;NA;Y
S1116;Lemphoria humistrata;Brassicaceae;Brassicoideae;Camelinodae (I);Microlepidieae;Lemphoria;humistrata;BrassiWood/Kasper Hendriks;281894-1;12366755;AUSTRALASIA;C. New South Wales;annual;subtropical;H;NA;NA;NA;Y
S1117;Weberbauera densifolia;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Weberbauera;densifolia;BrassiWood/Kasper Hendriks;287015-2;3047745;SOUTHERN AMERICA;Bolivia to Argentina (Catamarca);NA;subtropical;H;NA;NA;NA;Y
S1118;Ivania cremnophila;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Ivania;cremnophila;BrassiWood/Kasper Hendriks;130772-2;5374714;SOUTHERN AMERICA;Chile (Atacama);perennial;desert or dry shrubland;H;NA;NA;NA;Y
S1119;Cremolobus suffruticosus;Brassicaceae;Brassicoideae;Heliophilodae (V);Cremolobeae;Cremolobus;suffruticosus;BrassiWood/Kasper Hendriks;281706-1;3041486;SOUTHERN AMERICA;Peru;subshrub;subtropical;W;NA;NA;NA;NA
S1120;Alyssum lassiticum;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Alyssum;lassiticum;BrassiWood/Kasper Hendriks;277585-1;3045074;EUROPE;E. Kriti (Dhikti);subshrub;temperate;W;NA;NA;NA;NA
S1121;Draba funckii;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Draba;funckii;BrassiWood/Kasper Hendriks;276050-2;3049433;SOUTHERN AMERICA;NW. Venezuela;subshrub;montane tropical;W;NA;NA;NA;NA
S1128;Eunomia oppositifolia;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Eunomia;oppositifolia;BrassiWood/Kasper Hendriks;77122964-1;5375579;ASIA-TEMPERATE;Lebanon;subshrub;temperate;H;NA;NA;NA;Y
S1129;Vania campylophylla;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Vania;campylophylla;BrassiWood/Kasper Hendriks;60466571-2;5375918;ASIA-TEMPERATE;Türkiye;NA;temperate;H;NA;NA;NA;Y
S1148;Aethionema acarii;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;acarii;BrassiWood/Kasper Hendriks;77249720-1;3051063;EUROPE;North Macedonia to EC. Greece;subshrub;temperate;H;NA;NA;NA;NA
S1168;Physorhynchus brahuicus;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Physorhynchus;brahuicus;BrassiWood/Kasper Hendriks;288150-1;5375442;ASIA-TEMPERATE;S. Iran to Pakistan;subshrub or shrub;desert or dry shrubland;W;NA;NA;NA;Y
S1176;Odontarrhena tavolarae;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Odontarrhena;tavolarae;BrassiWood/Kasper Hendriks;77136316-1;11173188;EUROPE;Sardegna;subshrub;temperate;H;NA;NA;NA;NA
S1177;Parryodes axilliflora;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Parryodes;axilliflora;BrassiWood/Kasper Hendriks;278032-1;3046615;ASIA-TEMPERATE;S. Tibet to Bhutan;perennial;subalpine or subarctic;H;NA;NA;NA;Y
S1180;Aethionema munzurense;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;munzurense;BrassiWood/Kasper Hendriks;935535-1;3051047;ASIA-TEMPERATE;E. Türkiye (Tunceli);subshrub;temperate;W;NA;NA;NA;NA
S1181;Lepidium aretioides;Brassicaceae;Brassicoideae;Camelinodae (I);Lepidieae;Lepidium;aretioides;BrassiWood/Kasper Hendriks;77219362-1;12383331;ASIA-TEMPERATE;E. Afghanistan;subshrub;subtropical;W;NA;NA;NA;Y
S1182;Eigia longistyla;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Eigia;longistyla;BrassiWood/Kasper Hendriks;283227-1;3048799;ASIA-TEMPERATE;Israel to Arabian Pen.;annual;desert or dry shrubland;H;NA;NA;NA;Y
S1184;Aethionema demirizii;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;demirizii;BrassiWood/Kasper Hendriks;935532-1;3051146;ASIA-TEMPERATE;SC. Türkiye;subshrub;subtropical;W;NA;NA;NA;NA
S1187;Clausia aprica (western group);Brassicaceae;Brassicoideae;Hesperodae (III);Dontostemoneae;Clausia;aprica;BrassiWood/Kasper Hendriks;NA;0;NA;NA;NA;NA;H;NA;NA;NA;NA
S1188;Clausia aprica (eastern group);Brassicaceae;Brassicoideae;Hesperodae (III);Dontostemoneae;Clausia;aprica;BrassiWood/Kasper Hendriks;NA;0;NA;NA;NA;NA;H;NA;NA;NA;NA
S1189;Friedrichkarlmeyeria umbellata;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Friedrichkarlmeyeria;umbellata;BrassiWood/Kasper Hendriks;77148300-1;11003006;ASIA-TEMPERATE;Caucasus to N. Iran;annual;temperate;H;NA;NA;NA;Y
S1201;Schrenkiella parvula;Brassicaceae;Brassicoideae;Brassicodae (II);Schrenkielleae;Schrenkiella;parvula;BrassiWood/Kasper Hendriks;77109906-1;7959676;EUROPE;SE. European Russia to C. Türkiye and Xinjiang;annual;temperate;H;NA;NA;NA;Y
S1204;Camelina sativa;Brassicaceae;Brassicoideae;Camelinodae (I);Camelineae;Camelina;sativa;BrassiWood/Kasper Hendriks;279870-1;9073641;EUROPE;SE. & E. Europe to Russian Far East;annual or biennial;temperate;H;NA;common false-flax, Dutch flax, gold-of-pleasure, large-seed false-flax;Huttentut, Vlas- en Zaadhuttentut;Y
S1208;Brassica oleracea (nominate);Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Brassica;oleracea;BrassiWood/Kasper Hendriks;279435-1;3042845;EUROPE;Atlantic coasts of Great Britain, France and Spain;biennial or subshrub;temperate;H;NA;NA;Wilde kool;Y
S1210;Aurinia saxatilis;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Aurinia;saxatilis;BrassiWood/Kasper Hendriks;278817-1;5377778;EUROPE;C. Europe to N. Balkan Pen.;subshrub;temperate;W;ornamental;basket of gold, gold dust, goldentuft, rock madwort;Rotsschildzaad;Y
S1211;Arabidopsis thaliana;Brassicaceae;Brassicoideae;Camelinodae (I);Arabidopsideae;Arabidopsis;thaliana;BrassiWood/Kasper Hendriks;277970-1;3052436;EUROPE;Temp. Eurasia to Trop. African Mts.;annual;temperate;H;scientific;Common Wall Cress, mouse-ear cress, Mouse-Ear Cress, Mouseear Cress, thale cress, Thale Cress, Thalius' cress, Thalius' Cress, wall cress, Wall Cress;Zandraket;Y
S1213;Heliophila filicaulis;Brassicaceae;Brassicoideae;Heliophilodae (V);Heliophileae;Heliophila;filicaulis;BrassiWood/Kasper Hendriks;284655-1;5374452;AFRICA;SW. Cape Prov.;subshrub or shrub;subtropical;W;NA;NA;NA;NA
S1214;Mummenhoffia alliacea;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Mummenhoffia;alliacea;BrassiWood/Kasper Hendriks;77186116-1;10944522;EUROPE;EC. & S. Europe to N. Türkiye;annual;temperate;H;NA;NA;NA;Y
S1220;Brassica villosa;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Brassica;villosa;BrassiWood/Kasper Hendriks;279567-1;3042918;EUROPE;NW. Sicilia;subshrub;subtropical;H;NA;NA;NA;NA
S1221;Guenthera souliei;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Guenthera;souliei;BrassiWood/Kasper Hendriks;279530-1;3053638;EUROPE;NW. Africa;annual;subtropical;H;NA;NA;NA;Y
S1223;Aethionema stenopterum;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;stenopterum;BrassiWood/Kasper Hendriks;982675-1;3051054;ASIA-TEMPERATE;Iran;subshrub;temperate;H;NA;NA;NA;NA
S1227;Boechera holboellii;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Boechera;holboellii;BrassiWood/Kasper Hendriks;1137585-2;8186428;NORTHERN AMERICA;Greenland;biennial or perennial;subalpine or subarctic;H;NA;Holboell's rockcress;NA;Y
S1229;Odontarrhena pterocarpa;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Odontarrhena;pterocarpa;BrassiWood/Kasper Hendriks;77152057-1;11036426;ASIA-TEMPERATE;SW. Türkiye;subshrub;temperate;W;NA;NA;NA;NA
S1230;Strigosella cabulica;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Strigosella;cabulica;BrassiWood/Kasper Hendriks;290203-1;5373123;ASIA-TEMPERATE;Afghanistan to Pakistan;annual or biennial;temperate;H;NA;NA;NA;Y
S1232;Synstemon petrovii;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Synstemon;petrovii;BrassiWood/Kasper Hendriks;290264-1;3040802;ASIA-TEMPERATE;N. China;annual;temperate;H;NA;NA;NA;Y
S1234;Iskandera hissarica;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Iskandera;hissarica;BrassiWood/Kasper Hendriks;285889-1;3044435;ASIA-TEMPERATE;C. Asia;NA;temperate;W;NA;NA;NA;Y
S1235;Calymmatium draboides;Brassicaceae;Brassicoideae;Camelinodae (I);Alyssopsideae;Calymmatium;draboides;BrassiWood/Kasper Hendriks;279828-1;3047817;ASIA-TEMPERATE;Tadzhikistan (Pamir Mts.);annual;temperate;H;NA;NA;NA;Y
S1238;Leiocarpaea cochlearioides;Brassicaceae;Brassicoideae;Brassicodae (II);Calepineae;Leiocarpaea;cochlearioides;BrassiWood/Kasper Hendriks;279693-1;8374383;EUROPE;SE. European Russia to N. China;annual or biennial;temperate;H;NA;NA;NA;Y
S1239;Sisymbriopsis schugnana;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Sisymbriopsis;schugnana;BrassiWood/Kasper Hendriks;289122-1;3047157;ASIA-TEMPERATE;C. Asia to Xinjiang;biennial;subalpine or subarctic;H;NA;NA;NA;Y
S1241;Atelanthera perpusilla;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Atelanthera;perpusilla;BrassiWood/Kasper Hendriks;278765-1;3040466;ASIA-TEMPERATE;Afghanistan to C. Asia and W. Himalaya;annual;temperate;H;NA;NA;NA;Y
S1245;Parrya maidantalica;Brassicaceae;Brassicoideae;Hesperodae (III);Chorisporeae;Parrya;maidantalica;BrassiWood/Kasper Hendriks;287987-1;3053888;ASIA-TEMPERATE;C. Asia;NA;temperate;H;NA;NA;NA;NA
S1246;Parrya darvazica;Brassicaceae;Brassicoideae;Hesperodae (III);Chorisporeae;Parrya;darvazica;BrassiWood/Kasper Hendriks;287964-1;3053843;ASIA-TEMPERATE;C. Asia (Pamir Mts.);NA;subalpine or subarctic;W;NA;NA;NA;NA
S1249;Pterygostemon spathulatus;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Pterygostemon;spathulatus;BrassiWood/Kasper Hendriks;288280-1;3051683;ASIA-TEMPERATE;C. Asia to Xinjiang;NA;temperate;H;NA;NA;NA;Y
S1250;Microstigma deflexum;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Microstigma;deflexum;BrassiWood/Kasper Hendriks;287104-1;5376093;ASIA-TEMPERATE;SW. Siberia to Mongolia;perennial;temperate;H;NA;NA;NA;Y
S1251;Cryptospora falcata;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Cryptospora;falcata;BrassiWood/Kasper Hendriks;281884-1;5373592;ASIA-TEMPERATE;NE. Iran to W. Xinjiang;annual;temperate;H;NA;NA;NA;Y
S1258;Warea amplexifolia;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Warea;amplexifolia;BrassiWood/Kasper Hendriks;291085-1;5375488;NORTHERN AMERICA;Florida;annual;subtropical;H;NA;NA;NA;Y
S1260;Odontarrhena nebrodensis;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Odontarrhena;nebrodensis;BrassiWood/Kasper Hendriks;77136315-1;10684878;EUROPE;N. Sicilia;subshrub;temperate;W;NA;NA;NA;NA
S1261;Aethionema orbiculatum;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;orbiculatum;BrassiWood/Kasper Hendriks;277216-1;3051136;EUROPE;NE. Greece (Athos);subshrub;temperate;W;NA;NA;NA;NA
S1262;Alyssum taygeteum;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Alyssum;taygeteum;BrassiWood/Kasper Hendriks;277828-1;3044836;EUROPE;C. & S. Greece;subshrub;temperate;W;NA;NA;NA;NA
S1266;Irania pendula;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Irania;pendula;BrassiWood/Kasper Hendriks;285712-1;5376441;ASIA-TEMPERATE;Iran;subshrub;temperate;H;NA;NA;NA;NA
S1269;Irania multicaulis;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Irania;multicaulis;BrassiWood/Kasper Hendriks;285711-1;5376445;ASIA-TEMPERATE;NE. Iraq to Iran;subshrub;temperate;W;NA;NA;NA;NA
S1270;Vella castrilensis;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Vella;castrilensis;BrassiWood/Kasper Hendriks;77067651-1;5375667;EUROPE;Spain;NA;NA;H;NA;NA;NA;NA
S1276;Leavenworthia aurea;Brassicaceae;Brassicoideae;Camelinodae (I);Cardamineae;Leavenworthia;aurea;BrassiWood/Kasper Hendriks;30447706-2;3047233;NORTHERN AMERICA;Oklahoma;annual;temperate;H;NA;NA;NA;Y
S1278;Sphaerocardamum nesliiforme;Brassicaceae;Brassicoideae;Camelinodae (I);Halimolobeae;Sphaerocardamum;nesliiforme;BrassiWood/Kasper Hendriks;289978-1;3041713;NORTHERN AMERICA;Mexico (Quer√©taro, Hidalgo);NA;subtropical;H;NA;NA;NA;Y
S1279;Exhalimolobos palmeri;Brassicaceae;Brassicoideae;Camelinodae (I);Halimolobeae;Exhalimolobos;palmeri;BrassiWood/Kasper Hendriks;60445056-2;3041172;NORTHERN AMERICA;NE. Mexico (to Jalisco);biennial;desert or dry shrubland;H;NA;NA;NA;Y
S1314;Moricandia arvensis;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Moricandia;arvensis;BrassiWood/Kasper Hendriks;1085378-2;5376035;EUROPE;Canary Is., Medit. to Sahara;biennial or perennial;temperate;W;NA;NA;NA;Y
S1315;Berteroa incana;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Berteroa;incana;BrassiWood/Kasper Hendriks;278924-1;3053522;EUROPE;C. Europe to N. China;annual or perennial;temperate;H;NA;hoary alyssum, hoary false madwort, hoary false-alyssum;Grijskruid;Y
S1318;Chrysochamela velutina;Brassicaceae;Brassicoideae;Camelinodae (I);Camelineae;Chrysochamela;velutina;BrassiWood/Kasper Hendriks;281281-1;3044702;ASIA-TEMPERATE;E. Türkiye to Syria;annual;temperate;H;NA;NA;NA;NA
S1319;Polypsecadium harmsianum;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Polypsecadium;harmsianum;BrassiWood/Kasper Hendriks;207858-2;3047085;SOUTHERN AMERICA;Bolivia to NW. Argentina;annual or biennial;subalpine or subarctic;H;NA;NA;NA;Y
S1321;Synsepalum afzelii;Sapotaceae;NA;NA;NA;NA;NA;BrassiWood/Kasper Hendriks;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
S1328;Hesperis matronalis;Brassicaceae;Brassicoideae;Hesperodae (III);Hesperideae;Hesperis;matronalis;BrassiWood/Kasper Hendriks;285087-1;3042291;EUROPE;S. France to Slovakia and Caucasus;biennial or perennial;temperate;H;ornamental;Damask-Violet, dame's rocket, Dame'S Rocket, dame's violet, Dame'S Violet, Dame'S-Violet, Dames Rocket, Dames Violet, mother-of-the-evening, Mother-Of-The-Evening, sweet rocket, Sweet Rocket;Damastbloem;Y
S1331;Pseuderucaria clavata;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Pseuderucaria;clavata;BrassiWood/Kasper Hendriks;288202-1;3044713;AFRICA;Egypt to Israel;annual;desert or dry shrubland;H;NA;NA;NA;Y
S1332;Sisymbrium altissimum;Brassicaceae;Brassicoideae;Brassicodae (II);Sisymbrieae;Sisymbrium;altissimum;BrassiWood/Kasper Hendriks;289144-1;3046736;EUROPE;SE. & E. Europe to Siberia and W. Himalaya;annual;temperate;H;NA;Jim Hill mustard, tall hedge mustard, tall rocket, tall tumble mustard, tumble mustard, tumbleweed;Hongaarse raket;Y
S1336;Eutrema edwardsii;Brassicaceae;Brassicoideae;Brassicodae (II);Eutremeae;Eutrema;edwardsii;BrassiWood/Kasper Hendriks;302138-2;5375237;EUROPE;Subarctic to Tibet;perennial or rhizomatous geophyte;temperate;H;NA;Edwards' eutrema, Edwards' mock wallflower;NA;Y
S1339;Savignya parviflora;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Savignya;parviflora;BrassiWood/Kasper Hendriks;288834-1;5376117;AFRICA;Algeria to SW. Pakistan;annual;subtropical;H;NA;NA;NA;Y
S1341;Teesdalia coronopifolia;Brassicaceae;Brassicoideae;Heliophilodae (V);Iberideae;Teesdalia;coronopifolia;BrassiWood/Kasper Hendriks;290309-1;3054156;EUROPE;Madeira, Medit.;annual;temperate;H;NA;NA;NA;NA
S1342;Teesdalia nudicaulis;Brassicaceae;Brassicoideae;Heliophilodae (V);Iberideae;Teesdalia;nudicaulis;BrassiWood/Kasper Hendriks;290314-1;3054168;EUROPE;Madeira, Europe, Morocco;annual;temperate;H;NA;bare-stemmed teesdalia, Bare-Stemmed Teesdalia, Barestem Teesdalia, common shepherd's-cress, Common Shepherd'S-Cress, Shepherd'S Cress, shepherd's-cress, Shepherd'S-Cress;Klein tasjeskruid;Y
S1354;Iberis fontqueri;Brassicaceae;Brassicoideae;Heliophilodae (V);Iberideae;Iberis;fontqueri;BrassiWood/Kasper Hendriks;285555-1;5377298;EUROPE;S. Spain;annual;subtropical;H;NA;NA;NA;NA
S1365;Rhammatophyllum pachyrhizum;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Rhammatophyllum;pachyrhizum;BrassiWood/Kasper Hendriks;288567-1;3040770;ASIA-TEMPERATE;E. Kazakhstan;NA;temperate;W;NA;NA;NA;Y
S1366;Sobolewskia sibirica;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Sobolewskia;sibirica;BrassiWood/Kasper Hendriks;289912-1;3044663;EUROPE;Krym, Caucasus;perennial;temperate;H;NA;NA;NA;Y
S1368;Anzhengxia yechengnica;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Anzhengxia;yechengnica;BrassiWood/Kasper Hendriks;77160334-1;11023434;ASIA-TEMPERATE;Xinjiang;annual or perennial;subalpine or subarctic;H;NA;NA;NA;Y
S1369;Boechera yorkii;Brassicaceae;Brassicoideae;Camelinodae (I);Boechereae;Boechera;yorkii;BrassiWood/Kasper Hendriks;60437310-2;3043450;NORTHERN AMERICA;California (Last Chance Mts.);perennial;subalpine or subarctic;H;NA;NA;NA;NA
S1370;Halimolobos lasiolobus;Brassicaceae;Brassicoideae;Camelinodae (I);Halimolobeae;Halimolobos;lasiolobus;BrassiWood/Kasper Hendriks;30235263-2;3047509;NORTHERN AMERICA;NE. Mexico;NA;desert or dry shrubland;H;NA;NA;NA;Y
S1371;Dipoma iberideum;Brassicaceae;Brassicoideae;Camelinodae (I);Hemilophieae;Dipoma;iberideum;BrassiWood/Kasper Hendriks;282252-1;3051349;ASIA-TEMPERATE;China (Sichuan, Yunnan);perennial;subalpine or subarctic;H;NA;NA;NA;Y
S1374;Asperuginoides axillaris;Brassicaceae;Brassicoideae;Arabodae (IV);Asperuginoideae;Asperuginoides;axillaris;BrassiWood/Kasper Hendriks;910044-1;3040790;ASIA-TEMPERATE;S. Transcaucasus to C. Asia and W. Himalaya;annual;temperate;H;NA;NA;NA;Y
S1375;Malcolmia maritima;Brassicaceae;Brassicoideae;Camelinodae (I);Malcolmieae;Malcolmia;maritima;BrassiWood/Kasper Hendriks;286774-1;5373124;EUROPE;W. Albania to W. Greece;annual;temperate;H;NA;NA;NA;Y
